year,GDP,POST,TREAT,TAC,TAU,TAE,Country,,
1995,4.48,0.00,0.00,0.24,0.15,0.04,1.00,,
1996,2.88,0.00,0.00,0.25,0.30,0.04,1.00,,
1997,-1.47,0.00,0.00,0.22,0.22,0.03,1.00,,
1998,-0.56,0.00,0.00,0.25,0.33,0.01,1.00,,
1999,3.05,0.00,0.00,0.12,0.11,0.01,1.00,,
2000,2.85,0.00,0.00,0.09,0.12,0.18,1.00,,
2001,2.74,0.00,0.00,0.10,0.36,0.17,1.00,,
2002,3.87,0.00,0.00,0.10,0.44,0.26,1.00,,
2003,2.90,0.00,0.00,0.17,0.40,0.32,1.00,,
2004,0.50,0.00,0.00,0.12,0.45,0.28,1.00,,
2005,0.39,0.00,0.00,0.11,0.56,0.39,1.00,,
2006,4.40,0.00,0.00,0.14,0.61,0.29,1.00,,
2007,0.15,0.00,0.00,0.12,0.56,0.32,1.00,,
2008,-1.94,0.00,0.00,0.18,0.31,0.20,1.00,,
2009,-1.76,0.00,0.00,0.17,0.25,0.43,1.00,,
2010,2.60,0.00,0.00,0.18,0.19,0.85,1.00,,
2011,3.75,0.00,0.00,0.32,0.22,0.94,1.00,,
2012,0.91,0.00,0.00,0.19,0.26,0.98,1.00,,
2013,-2.13,0.00,0.00,0.16,0.33,0.85,1.00,,
2014,-2.51,0.00,0.00,0.53,0.34,0.86,1.00,,
2015,-0.39,0.00,0.00,0.26,0.23,0.77,1.00,,
2016,-2.48,0.00,0.00,0.19,0.42,0.63,1.00,,
2017,1.33,0.00,0.00,0.23,0.24,0.94,1.00,,
2018,0.05,0.00,0.00,0.40,0.36,1.78,1.00,,
2019,3.87,1.00,0.00,0.47,0.36,1.12,1.00,,
2020,1.13,1.00,0.00,0.25,0.31,1.75,1.00,,
2021,-1.59,1.00,0.00,0.31,0.19,2.90,1.00,,
2022,-1.63,1.00,0.00,0.22,0.34,3.09,1.00,,
2023,1.41,1.00,0.00,0.21,0.29,2.74,1.00,,
1995,9.90,0.00,0.00,0.19,0.04,0.05,2.00,,
1996,5.90,0.00,0.00,0.26,0.03,0.06,2.00,,
1997,4.01,0.00,0.00,0.22,0.14,0.11,2.00,,
1998,4.68,0.00,0.00,0.21,0.35,0.13,2.00,,
