Item,gender,age,Education,monthly income,Working years,TQI1,TQI2,TQI3,TQI4,DII1,DII2,DII3,DII4,CEC1,CEC2,CEC3,CEC4,RD1,RD2,RD3,RD4,CSI1,CSI2,CSI3,CSI4,CBO1,CBO2,CBO3,CBO4,CBO5,CBO6,TQI,DI,CEC,RD,CSI,CBO
问卷1,1,1,1,2,2,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5.00,4.75,5.00,5.00,5.00,4.17
问卷2,2,2,3,2,2,4,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.75,5.25,5.00,5.00,5.00,5.00
问卷3,2,2,2,2,2,4,7,4,7,6,7,7,7,5,5,3,4,4,7,5,5,3,4,3,4,3,1,1,5,6,5,5.50,6.75,4.25,5.25,3.50,3.50
问卷4,1,2,2,2,1,5,7,7,7,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6.50,4.25,5.00,5.00,5.00,5.00
问卷5,1,2,2,2,1,4,4,5,4,6,5,5,5,1,1,1,1,1,5,1,1,1,1,1,1,4,5,5,5,5,1,4.25,5.25,1.00,2.00,1.00,4.17
问卷6,2,3,2,2,1,5,5,5,5,6,7,5,3,5,5,5,5,5,7,5,5,5,5,5,5,4,7,4,7,6,5,5.00,5.25,5.00,5.50,5.00,5.50
问卷7,2,4,2,1,2,5,7,5,5,5,5,5,6,5,4,4,4,4,6,5,4,4,4,4,4,4,7,4,4,5,5,5.50,5.25,4.25,4.75,4.00,4.83
问卷8,2,3,1,1,2,7,5,5,5,5,5,4,5,5,7,7,7,7,5,5,7,7,7,7,7,5,7,5,5,6,5,5.50,4.75,6.50,6.00,7.00,5.50
问卷9,1,1,2,1,2,5,7,7,7,5,5,5,5,4,4,5,4,4,5,4,4,5,4,5,4,6,7,7,7,6,4,6.50,5.00,4.25,4.25,4.50,6.17
问卷10,1,2,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,7,5,7,7,5,5,5.00,5.00,5.00,5.25,5.00,6.00
问卷11,1,2,2,1,1,5,5,5,5,5,4,5,5,5,7,5,5,5,5,5,7,5,5,5,5,6,5,5,5,5,5,5.00,4.75,5.50,5.50,5.00,5.17
问卷12,1,1,1,1,1,5,4,4,4,6,5,6,7,7,5,5,5,5,5,7,5,5,5,5,5,5,5,5,5,5,7,4.25,6.00,5.50,5.50,5.00,5.33
