Year,Consumer Price Index,Belt and Road Initiative,GDP Growth Rate,Unemployment Rate,Broad Money Growth Rate,Per Capita GNI Growth Rate,Belt and Road Initiative Country,Country
1995,74.07978637,0,10.95395434,3,29.4610222,3,1,1
1996,80.23815776,0,9.922556753,3.12,25.2731568,3.12,1,1
1997,82.47396598,0,9.236779892,3.23,20.72731167,3.23,1,1
1998,81.83628882,0,7.845951787,3.24,14.90435007,3.24,1,1
1999,80.68937558,0,7.6616515,3.25,14.66647771,3.25,1,1
2000,80.97002229,0,8.490093406,3.26,12.32478198,3.26,1,1
2001,81.55229846,0,8.335733478,3.8,15.04241351,3.8,1,1
2002,80.95535936,0,9.13363079,4.24,13.14043628,4.24,1,1
2003,81.86821482,0,10.03803048,4.58,19.23976666,4.58,1,1
2004,84.9993772,0,10.11362138,4.49,14.88692014,4.49,1,1
2005,86.50931811,0,11.39459181,4.52,16.7416524,4.52,1,1
2006,87.93622961,0,12.72095567,4.43,22.11611885,4.43,1,1
2007,92.17191349,0,14.23086093,4.35,16.73553458,4.35,1,1
2008,97.63333106,0,9.650678919,4.59,17.77810755,4.59,1,1
2009,96.92239907,0,9.398725633,4.72,28.42327787,4.72,1,1
2010,100,0,10.63587106,4.53,18.94831461,4.53,1,1
2011,105.5538989,0,9.550832179,4.55,17.32296979,4.55,1,1
2012,108.318909,0,7.863736449,4.58,14.39165202,4.58,1,1
2013,111.1580018,1,7.766150098,4.6,13.58890221,4.6,1,1
2014,113.2940602,1,7.425763656,4.63,11.01193614,4.63,1,1
2015,114.9221228,1,7.041328879,4.65,13.34310169,4.65,1,1
2016,117.2205674,1,6.848762205,4.56,11.33311895,4.56,1,1
2017,119.0880504,1,6.947200793,4.47,8.109777962,4.47,1,1
2018,121.5588779,1,6.749773832,4.31,6.991061694,4.31,1,1
2019,125.0831544,1,5.950500754,4.56,8.88227906,4.56,1,1
2020,128.1094436,1,2.238638356,5,10.01356231,5,1,1
2021,129.3662166,1,8.448469417,4.55,9.075745734,4.55,1,1
2022,131.9193567,1,2.989084086,4.98,11.66330022,4.98,1,1
2023,132.2291519,1,5.2,4.67,9.848834535,4.67,1,1
1995,30.58593146,0,4.962609146,0.596,13.80979579,0.596,1,2
1996,33.75885744,0,4.846581287,0.591,20.06856105,0.591,1,2
1997,37.59909387,0,1.014396011,0.596,19.91179679,0.596,1,2
1998,39.940767,0,2.550234298,0.6,7.859379338,0.6,1,2
1999,41.59536806,0,3.660132739,0.602,4.314225268,0.602,1,2
2000,43.41169823,0,4.260088011,0.597,12.12515822,0.597,1,2
2001,44.77841199,0,3.651350171,0.595,14.43024739,0.595,1,2
2002,46.25177611,0,2.594816684,0.597,17.61644821,0.597,1,2
2003,47.59961517,0,5.401310873,0.595,17.85794432,0.595,1,2
2004,51.14322787,0,7.83125557,0.588,18.89539952,0.588,1,2
2005,55.77850604,0,7.276574436,0.582,16.37287366,0.582,1,2
2006,60.19676858,0,6.051637676,0.582,42.90887402,0.582,1,2
2007,64.77093105,0,4.44481434,0.398,17.4383547,0.398,1,2
2008,77.91044056,0,2.120441043,0.423,6.524702142,0.423,1,2
2009,88.54347445,0,3.472550596,0.535,17.61005693,0.535,1,2
