Year,MDI,GDP,IR,IMP,DMP,PEF,EPS,POST,TREAT
1995,5.15,6.38,0.04,38.69,15.81,3.20,60.00,0.00,1.00
1996,3.08,2.24,46.89,44.08,23.23,3.30,60.00,0.00,1.00
1997,3.56,3.90,36.56,38.59,31.72,3.50,58.00,0.00,1.00
1998,2.15,3.34,9.36,33.75,34.68,3.60,58.00,0.00,1.00
1999,2.28,3.07,7.56,31.87,37.31,3.40,57.00,0.00,1.00
2000,2.34,1.15,11.60,36.12,41.63,3.70,56.00,0.00,1.00
2001,1.99,2.95,6.28,34.86,44.25,3.90,56.00,0.00,1.00
2002,1.96,4.73,0.92,34.92,44.65,4.10,55.00,0.00,1.00
2003,2.11,7.00,5.13,42.11,46.94,4.40,55.00,0.00,1.00
2004,4.26,10.63,8.24,50.26,50.81,4.20,54.00,0.00,1.00
2005,4.88,7.25,12.72,58.97,57.27,4.50,53.00,0.00,1.00
2006,8.79,8.56,5.10,61.08,60.19,4.70,53.00,0.00,1.00
2007,8.46,10.25,9.63,83.36,65.99,5.10,52.00,0.00,1.00
2008,6.65,8.90,27.96,190.09,84.44,5.30,52.00,0.00,1.00
2009,5.42,-1.27,7.62,120.04,90.87,5.20,50.00,0.00,1.00
2010,7.13,6.37,10.05,100.00,100.00,5.50,50.00,0.00,1.00
2011,7.23,17.29,8.41,137.62,108.41,5.80,48.00,0.00,1.00
2012,5.89,12.32,14.33,141.06,123.95,6.00,48.00,0.00,1.00
2013,4.87,11.65,10.49,114.36,136.95,6.30,46.00,0.00,1.00
2014,4.56,7.89,12.25,101.47,153.73,6.20,45.00,1.00,1.00
2015,4.07,2.38,5.74,98.40,162.55,6.50,43.00,1.00,1.00
2016,3.06,1.49,0.73,77.71,163.74,6.80,42.00,1.00,1.00
2017,3.76,5.64,4.30,74.26,170.78,7.00,40.00,1.00,1.00
2018,4.46,7.74,6.82,82.50,182.44,7.30,38.00,1.00,1.00
2019,3.52,5.60,7.30,81.38,195.76,7.60,36.00,1.00,1.00
2020,4.33,-4.56,3.80,74.61,203.19,7.40,35.00,1.00,1.00
2021,10.34,1.64,7.35,152.31,218.13,7.90,33.00,1.00,1.00
2022,5.55,5.03,15.15,235.74,251.17,8.20,30.00,1.00,1.00
2023,6.12,7.02,10.35,153.54,277.16,8.50,28.00,1.00,1.00
1995,0.30,-8.20,176.16,38.69,20.40,4.10,55.00,0.00,0.00
1996,0.25,0.50,39.18,44.08,28.40,4.00,55.00,0.00,0.00
1997,0.22,1.70,17.41,38.59,33.34,4.30,54.00,0.00,0.00
1998,0.30,-1.90,7.15,33.75,35.73,4.20,54.00,0.00,0.00
1999,0.31,2.70,8.30,31.87,38.69,4.50,53.00,0.00,0.00
2000,0.32,9.80,13.18,36.12,43.79,4.60,52.00,0.00,0.00
2001,0.25,13.50,8.35,34.86,47.45,4.80,52.00,0.00,0.00
2002,0.61,9.80,5.84,34.92,50.22,4.70,51.00,0.00,0.00
2003,0.48,9.30,6.44,42.11,53.45,4.90,50.00,0.00,0.00
2004,1.02,9.60,6.88,50.26,57.13,5.10,50.00,0.00,0.00
2005,1.05,9.70,7.58,58.97,61.46,5.00,48.00,0.00,0.00
2006,1.54,10.70,8.72,61.08,66.82,5.30,48.00,0.00,0.00
2007,1.77,8.90,10.85,83.36,74.07,5.60,47.00,0.00,0.00
2008,1.35,3.30,17.14,190.09,86.76,5.70,47.00,0.00,0.00
2009,0.95,1.20,7.32,120.04,93.11,5.80,45.00,0.00,0.00
2010,1.17,7.30,7.40,100.00,100.00,6.00,44.00,0.00,0.00
2011,1.10,7.40,8.45,137.62,108.45,6.30,43.00,0.00,0.00
2012,1.00,4.80,5.20,141.06,114.09,6.20,42.00,0.00,0.00
2013,0.88,6.00,5.94,114.36,120.87,6.50,40.00,0.00,0.00
2014,0.70,4.20,6.85,101.47,129.15,6.70,40.00,1.00,0.00
2015,0.42,1.20,6.68,98.40,137.77,6.60,38.00,1.00,0.00
2016,0.79,1.10,14.36,77.71,157.56,6.80,36.00,1.00,0.00
2017,1.09,4.10,7.44,74.26,169.28,7.00,35.00,1.00,0.00
2018,0.92,4.10,6.16,82.50,179.72,7.20,33.00,1.00,0.00
2019,0.89,4.50,5.33,81.38,189.30,7.50,32.00,1.00,0.00
2020,1.37,-2.50,6.72,74.61,202.02,7.70,30.00,1.00,0.00
2021,2.41,4.30,8.04,152.31,218.27,8.00,29.00,1.00,0.00
2022,1.45,3.20,15.03,235.74,251.07,8.30,28.00,1.00,0.00
2023,1.50,5.10,14.72,153.54,288.04,8.50,25.00,1.00,0.00
